cards,has_solution,num_solutions
2 5 6 11,Y,148
2 5 6 12,Y,40
2 5 6 13,Y,24
2 5 7 7,Y,12
2 5 7 8,Y,4
2 5 7 9,Y,8
2 5 7 10,Y,140
2 5 7 11,Y,24
2 5 7 12,N,0
2 5 7 13,Y,38
2 5 8 8,Y,8
2 5 8 9,Y,148
2 5 8 10,Y,12
2 5 8 11,Y,12
2 5 8 12,Y,20
2 5 8 13,Y,132
2 5 9 9,N,0
2 5 9 10,Y,16
2 5 9 11,Y,20
2 5 9 12,Y,107
2 5 9 13,N,0
2 5 10 10,Y,20
2 5 10 11,Y,110
2 5 10 12,Y,10
2 5 10 13,Y,14
2 5 11 11,N,0
2 5 11 12,Y,7
2 5 11 13,N,0
2 5 12 12,Y,16
2 5 12 13,Y,16
2 5 13 13,N,0
2 6 6 6,Y,22
2 6 6 7,Y,8
2 6 6 8,Y,38
2 6 6 9,Y,10
2 6 6 10,Y,72
2 6 6 11,Y,4
2 6 6 12,Y,156
2 6 6 13,Y,2
2 6 7 7,N,0
2 6 7 8,Y,20
2 6 7 9,Y,152
2 6 7 10,Y,8
2 6 7 11,Y,16
2 6 7 12,Y,20
2 6 7 13,Y,118
2 6 8 8,Y,64
2 6 8 9,Y,94
2 6 8 10,Y,57
2 6 8 11,Y,34
2 6 8 12,Y,118
2 6 8 13,Y,30
2 6 9 9,Y,12
2 6 9 10,Y,6
2 6 9 11,Y,126
2 6 9 12,Y,35
2 6 9 13,N,0
2 6 10 10,Y,61
2 6 10 11,Y,16
2 6 10 12,Y,72
2 6 10 13,Y,22
2 6 11 11,N,0
2 6 11 12,Y,21
2 6 11 13,Y,28
2 6 12 12,Y,30
2 6 12 13,Y,11
2 6 13 13,N,0
2 7 7 7,N,0
2 7 7 8,Y,64
2 7 7 9,N,0
2 7 7 10,Y,4
2 7 7 11,Y,6
2 7 7 12,Y,183
2 7 7 13,Y,2
2 7 8 8,Y,20
2 7 8 9,Y,4
2 7 8 10,N,0
2 7 8 11,Y,114
2 7 8 12,Y,28
2 7 8 13,Y,36
2 7 9 9,N,0
2 7 9 10,Y,110
2 7 9 11,Y,22
2 7 9 12,N,0
2 7 9 13,Y,34
2 7 10 10,Y,8
2 7 10 11,Y,24
2 7 10 12,Y,22
2 7 10 13,N,0
2 7 11 11,N,0
2 7 11 12,Y,32
2 7 11 13,N,0
2 7 12 12,Y,20
2 7 12 13,Y,7
2 7 13 13,N,0
2 8 8 8,Y,10
2 8 8 9,Y,16
2 8 8 10,Y,47
2 8 8 11,Y,4
2 8 8 12,Y,154
2 8 8 13,Y,14
2 8 9 9,Y,49
2 8 9 10,Y,20
2 8 9 11,Y,28
2 8 9 12,Y,34
2 8 9 13,Y,21
2 8 10 10,Y,22
2 8 10 11,Y,54
2 8 10 12,Y,32
2 8 10 13,Y,18
2 8 11 11,Y,4
2 8 11 12,Y,16
2 8 11 13,N,0
2 8 12 12,Y,27
2 8 12 13,Y,16
2 8 13 13,Y,4
2 9 9 9,N,0
2 9 9 10,N,0
2 9 9 11,Y,4
2 9 9 12,Y,146
2 9 9 13,Y,2
2 9 10 10,Y,12
2 9 10 11,Y,20
2 9 10 12,Y,24
2 9 10 13,Y,32
2 9 11 11,Y,22
2 9 11 12,N,0
2 9 11 13,Y,18
2 9 12 12,N,0
2 9 12 13,Y,16
2 9 13 13,Y,4
2 10 10 10,N,0
2 10 10 11,Y,4
2 10 10 12,Y,142
2 10 10 13,Y,6
2 10 11 11,Y,8
2 10 11 12,Y,42
2 10 11 13,Y,20
2 10 12 12,N,0
2 10 12 13,Y,22
2 10 13 13,N,0
2 11 11 11,Y,4
2 11 11 12,Y,138
2 11 11 13,Y,26
2 11 12 12,Y,24
2 11 12 13,Y,20
2 11 13 13,Y,24
2 12 12 12,Y,87
2 12 12 13,Y,22
2 12 13 13,Y,138
2 13 13 13,Y,2
3 3 3 3,Y,2
3 3 3 4,Y,10
3 3 3 5,Y,4
3 3 3 6,Y,24
3 3 3 7,Y,6
3 3 3 8,Y,85
3 3 3 9,Y,2
3 3 3 10,Y,10
3 3 3 11,Y,2
3 3 3 12,Y,24
3 3 3 13,N,0
3 3 4 4,Y,8
3 3 4 5,Y,20
3 3 4 6,Y,138
3 3 4 7,Y,18
3 3 4 8,Y,24
3 3 4 9,Y,44
3 3 4 10,N,0
3 3 4 11,Y,18
3 3 4 12,Y,26
3 3 4 13,Y,2
3 3 5 5,Y,1
3 3 5 6,Y,54
3 3 5 7,Y,4
3 3 5 8,N,0
3 3 5 9,Y,26
3 3 5 10,Y,30
3 3 5 11,N,0
3 3 5 12,Y,22
3 3 5 13,Y,64
3 3 6 6,Y,4
3 3 6 7,Y,26
3 3 6 8,Y,18
3 3 6 9,Y,68
3 3 6 10,Y,12
3 3 6 11,Y,28
3 3 6 12,Y,62
3 3 6 13,Y,10
3 3 7 7,Y,4
3 3 7 8,Y,12
3 3 7 9,Y,24
3 3 7 10,N,0
3 3 7 11,Y,62
3 3 7 12,Y,24
3 3 7 13,Y,4
3 3 8 8,Y,1
3 3 8 9,Y,14
3 3 8 10,Y,61
3 3 8 11,N,0
3 3 8 12,Y,16
3 3 8 13,Y,16
3 3 9 9,Y,38
3 3 9 10,Y,16
3 3 9 11,Y,10
3 3 9 12,Y,20
3 3 9 13,Y,2
3 3 10 10,N,0
3 3 10 11,N,0
3 3 10 12,N,0
3 3 10 13,Y,12
3 3 11 11,N,0
3 3 11 12,Y,30
3 3 11 13,Y,138
3 3 12 12,Y,75
3 3 12 13,Y,16
3 3 13 13,N,0
3 4 4 4,Y,4
3 4 4 5,Y,28
3 4 4 6,Y,46
3 4 4 7,Y,20
3 4 4 8,Y,170
3 4 4 9,Y,16
3 4 4 10,Y,2
3 4 4 11,Y,8
3 4 4 12,Y,6
